(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0D8448B6H,B0976VZ1MW,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - BEENA BLACK 8.5,WD-JT053-R02B8-5,26,0,3.19%,0.00%,28,0,2.78%,0.00%,100.00%,0.00%,2,0,7.69%,0.00%,$103.98,$0.00,2,0
B0DZXJD8N1,B0976WBXY4,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 8.5,WD-JT055-R03FG8-5,74,1,9.09%,8.33%,103,1,10.22%,7.69%,100.00%,0.00%,2,0,2.70%,0.00%,$119.98,$0.00,2,0
B0D8448B6H,B09T3QLH23,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - CHANDA BLACK 11,WD-JT055-R01B11,8,0,0.98%,0.00%,8,0,0.79%,0.00%,100.00%,0.00%,2,0,25.00%,0.00%,$103.98,$0.00,2,0
B0D8448B6H,B0976W98HM,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - BEENA BLACK 10.5,WD-JT053-R02B10-5,13,0,1.60%,0.00%,14,0,1.39%,0.00%,100.00%,0.00%,1,0,7.69%,0.00%,$51.99,$0.00,1,0
B0CVL45ZQT,B0976WDL7R,JATAREA Slip-On Flat Leather Slides for Women & Two Strap Open Toe Beach Sandals - BOJRA BLACK 8,WD-JT053-R01B8,18,1,2.21%,8.33%,22,1,2.18%,7.69%,95.65%,0.00%,1,0,5.56%,0.00%,$51.99,$0.00,1,0
B0DZXJD8N1,B0976WKMVF,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 7,WD-JT055-R03FG7,178,5,21.87%,41.67%,215,5,21.33%,38.46%,100.00%,100.00%,1,0,0.56%,0.00%,$59.99,$0.00,1,0
B0D8448B6H,B0976WL4H3,JATAREA Women’s Slip-On Flat Sandals with Round Open Toe | Dressy Summer Slides for Women - BEENA BLACK 10,WD-JT053-R02B10,12,0,1.47%,0.00%,23,0,2.28%,0.00%,95.45%,0.00%,1,0,8.33%,0.00%,$51.99,$0.00,1,0
B0D3LVSRZP,B0976WTSMS,JATAREA Slip-On Flat Toe Post T-Strap Sandals for Women | Summer Sandals With Dust Cover - BENU PICKLE GREEN 8,WD-JT053-R05PG8,5,1,0.61%,8.33%,7,2,0.69%,15.38%,100.00%,100.00%,1,1,20.00%,100.00%,$59.99,$59.99,1,1
B0DZXJD8N1,B0976WX7WX,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 9,WD-JT055-R03FG9,85,1,10.44%,8.33%,114,1,11.31%,7.69%,100.00%,100.00%,1,0,1.18%,0.00%,$59.99,$0.00,1,0
B0DZXJD8N1,B0976WZ9B8,JATAREA Women’s Slip-On Leather Flat Sandals with Round Open Toe | Classic and Trendy Slippers - CAVERY FOREST GREEN 11,WD-JT055-R03FG11,24,0,2.95%,0.00%,28,0,2.78%,0.00%,100.00%,0.00%,1,0,4.17%,0.00%,$59.99,$0.00,1,0
